id,year,division,rank,orchestra,conductor,pieces,pieces_list,composers,composers_list,points,max_points,image_url,orchestra_url,conductor_url,piece_urls,scraped_at
2004-elite-01-stavanger-brass-band,2004,Elite,1,Stavanger Brass Band,David King,Masquerade,['Masquerade'],Philip Wilby,['Philip Wilby'],93.5,100.0,,,,,2025-09-29T23:32:39.721606
2004-elite-02-eikanger-bjørsvik-musikklag,2004,Elite,2,Eikanger-Bjørsvik Musikklag,Reid Gilje,Concerto for Band No 1,['Concerto for Band No 1'],Derek Bourgeois,['Derek Bourgeois'],91.5,100.0,,,,,2025-09-29T23:32:39.721610
2004-elite-03-ila-brass-band,2004,Elite,3,Ila Brass Band,Thomas Rimul,Exergy Re-Revisited,['Exergy Re-Revisited'],Dag Egil Njaa,['Dag Egil Njaa'],91.0,100.0,,,,,2025-09-29T23:32:39.721613
2004-elite-04-molde-brass-band,2004,Elite,4,Molde Brass Band,Alan Morrison,Concerto Grosso,['Concerto Grosso'],Derek Bourgeois,['Derek Bourgeois'],90.0,100.0,,,,,2025-09-29T23:32:39.721616
2004-elite-05-manger-musikklag,2004,Elite,5,Manger Musikklag,Jesper Juul Sørensen,Paganini Variations,['Paganini Variations'],Philip Wilby,['Philip Wilby'],88.5,100.0,,,,,2025-09-29T23:32:39.721619
2004-elite-06-sandefjord-brass-symposium,2004,Elite,6,Sandefjord Brass Symposium,John-Philip Hannevik,Apocalypse,['Apocalypse'],Derek Bourgeois,['Derek Bourgeois'],88.0,100.0,,,,,2025-09-29T23:32:39.721622
2004-elite-07-krohnengen-brass-band,2004,Elite,7,Krohnengen Brass Band,Ray Farr,Harrison's Dream,"[""Harrison's Dream""]",Peter Graham,['Peter Graham'],87.0,100.0,,,,,2025-09-29T23:32:39.721624
2004-elite-08-jaren-hornmusikkforening,2004,Elite,8,Jaren Hornmusikkforening,Helge Haukås,English Heritage,['English Heritage'],George Lloyd,['George Lloyd'],84.0,100.0,,,,,2025-09-29T23:32:39.721627
2004-elite-09-oslofjord-brass,2004,Elite,9,Oslofjord Brass,Christian Tenfjord,Montage,['Montage'],Peter Graham,['Peter Graham'],82.5,100.0,,,,,2025-09-29T23:32:39.721630
2004-elite-10-tertnes-brass,2004,Elite,10,Tertnes Brass,Bjørn Breistein,Dove Descending,['Dove Descending'],Philip Wilby,['Philip Wilby'],82.0,100.0,,,,,2025-09-29T23:32:39.721632
2004-1-divisjon-01-sola-brass-band,2004,1. divisjon,1,Sola Brass Band,Steve Bastable,Chivalry,['Chivalry'],Martin Ellerby,['Martin Ellerby'],94.0,100.0,,,,,2025-09-29T23:32:39.721635
2004-1-divisjon-02-radøy-brass,2004,1. divisjon,2,Radøy Brass,Gareth Pritchard,Diversions on a Bass Theme,['Diversions on a Bass Theme'],George Lloyd,['George Lloyd'],93.0,100.0,,,,,2025-09-29T23:32:39.721638
2004-1-divisjon-03-askøy-brass-band,2004,1. divisjon,3,Askøy Brass Band,Tom Brevik,Dances and Arias,['Dances and Arias'],Edward Gregson,['Edward Gregson'],92.0,100.0,,,,,2025-09-29T23:32:39.721641
2004-1-divisjon-04-ørskog-brass,2004,1. divisjon,4,Ørskog Brass,Michael Antrobus,Spectrum,['Spectrum'],Gilbert Vinter,['Gilbert Vinter'],91.0,100.0,,,,,2025-09-29T23:32:39.721644
2004-1-divisjon-05-alexander-brass-band,2004,1. divisjon,5,Alexander Brass Band,Morten Evjeberg Hansen,Coventry Variations,['Coventry Variations'],Bramwell Tovey,['Bramwell Tovey'],90.0,100.0,,,,,2025-09-29T23:32:39.721646
2004-1-divisjon-05-kleppe-musikklag,2004,1. divisjon,5,Kleppe Musikklag,Eirik Gjerdevik,The Year of the Dragon,['The Year of the Dragon'],Philip Sparke,['Philip Sparke'],90.0,100.0,,,,,2025-09-29T23:32:39.721649
2004-1-divisjon-07-sørum-musikklag,2004,1. divisjon,7,Sørum Musikklag,Trond Elnes,Paganini Variations,['Paganini Variations'],Philip Wilby,['Philip Wilby'],89.0,100.0,,,,,2025-09-29T23:32:39.721652
2004-1-divisjon-07-tomra-brass-band,2004,1. divisjon,7,Tomra Brass Band,Arnfinn Dalhaug,A Lowry Sketchbook,['A Lowry Sketchbook'],Philip Wilby,['Philip Wilby'],89.0,100.0,,,,,2025-09-29T23:32:39.721654
