id,year,division,rank,orchestra,conductor,pieces,pieces_list,composers,composers_list,points,max_points,image_url,orchestra_url,conductor_url,piece_urls,scraped_at
2001-elite-01-eikanger-bjørsvik-musikklag,2001,Elite,1.0,Eikanger-Bjørsvik Musikklag,Dr. Nicholas Childs,Concerto Grosso,['Concerto Grosso'],Derek Bourgeois,['Derek Bourgeois'],97.0,100.0,,,,,2025-09-29T23:32:39.709777
2001-elite-02-stavanger-brass-band,2001,Elite,2.0,Stavanger Brass Band,Frank Renton,Montage,['Montage'],Peter Graham,['Peter Graham'],96.0,100.0,,,,,2025-09-29T23:32:39.709784
2001-elite-03-krohnengen-brass-band,2001,Elite,3.0,Krohnengen Brass Band,Ray Farr,Dove Descending,['Dove Descending'],Philip Wilby,['Philip Wilby'],94.5,100.0,,,,,2025-09-29T23:32:39.709788
2001-elite-04-sandefjord-brass-symposium,2001,Elite,4.0,Sandefjord Brass Symposium,Bryan Hurdley,Jazz,['Jazz'],Philip Wilby,['Philip Wilby'],92.5,100.0,,,,,2025-09-29T23:32:39.709792
2001-elite-05-manger-musikklag,2001,Elite,5.0,Manger Musikklag,Allan Withington,Dances and Arias,['Dances and Arias'],Edward Gregson,['Edward Gregson'],90.5,100.0,,,,,2025-09-29T23:32:39.709796
2001-elite-06-jaren-hornmusikkforening,2001,Elite,6.0,Jaren Hornmusikkforening,Helge Haukås,Journey into Freedom,['Journey into Freedom'],Eric Ball,['Eric Ball'],90.5,100.0,,,,,2025-09-29T23:32:39.709799
2001-elite-07-tertnes-brass,2001,Elite,7.0,Tertnes Brass,Michael Antrobus,Harmony Music,['Harmony Music'],Philip Sparke,['Philip Sparke'],90.5,100.0,,,,,2025-09-29T23:32:39.709803
2001-elite-08-oslofjord-brass,2001,Elite,8.0,Oslofjord Brass,Selmer Simonsen,Dances and Arias,['Dances and Arias'],Edward Gregson,['Edward Gregson'],88.5,100.0,,,,,2025-09-29T23:32:39.709806
2001-1-divisjon-01-ila-brass-band,2001,1. divisjon,1.0,Ila Brass Band,Bjørn Sagstad,Masquerade,['Masquerade'],Philip Wilby,['Philip Wilby'],96.0,100.0,,,,,2025-09-29T23:32:39.709811
2001-1-divisjon-02-molde-brass-band,2001,1. divisjon,2.0,Molde Brass Band,Alan Morrison,Tristan Encounters,['Tristan Encounters'],Martin Ellerby,['Martin Ellerby'],95.0,100.0,,,,,2025-09-29T23:32:39.709814
2001-1-divisjon-03-sola-brass-band,2001,1. divisjon,3.0,Sola Brass Band,Russell Gray,,[],,[],94.0,100.0,,,,,2025-09-29T23:32:39.709817
2001-1-divisjon-04-tomra-brass-band,2001,1. divisjon,4.0,Tomra Brass Band,Arnfinn Dalhaug,Dove Descending,['Dove Descending'],Philip Wilby,['Philip Wilby'],93.0,100.0,,,,,2025-09-29T23:32:39.709821
2001-1-divisjon-05-radøy-brass,2001,1. divisjon,5.0,Radøy Brass,Torstein Aagaard-Nilsen,,[],,[],90.0,100.0,,,,,2025-09-29T23:32:39.709824
2001-1-divisjon-06-askøy-brass-band,2001,1. divisjon,6.0,Askøy Brass Band,Egil Magnussen,Firestorm,['Firestorm'],Stephen Bulla,['Stephen Bulla'],89.0,100.0,,,,,2025-09-29T23:32:39.709827
2001-1-divisjon-07-trondheim-politis-brassband,2001,1. divisjon,7.0,Trondheim Politis Brassband,Odd Steinar Mørkved,Victorian Snapshots - On Ratcliff Highway,['Victorian Snapshots - On Ratcliff Highway'],Ray Steadman-Allen,['Ray Steadman-Allen'],88.0,100.0,,,,,2025-09-29T23:32:39.709831
2001-1-divisjon-08-oster-brass,2001,1. divisjon,8.0,Oster Brass,Gareth Jones,Dances and Arias,['Dances and Arias'],Edward Gregson,['Edward Gregson'],86.0,100.0,,,,,2025-09-29T23:32:39.709835
2001-1-divisjon-09-sagvåg-musikklag,2001,1. divisjon,9.0,Sagvåg Musikklag,Jan Magne Olsen,,[],,[],85.0,100.0,,,,,2025-09-29T23:32:39.709838
2001-1-divisjon-10-vennesla-kristne-brass,2001,1. divisjon,10.0,Vennesla Kristne Brass,Bjørn Breistein,,[],,[],84.0,100.0,,,,,2025-09-29T23:32:39.709840
2001-1-divisjon-11-ørskog-brass,2001,1. divisjon,11.0,Ørskog Brass,John Hudson,Sounds,['Sounds'],John Golland,['John Golland'],83.0,100.0,,,,,2025-09-29T23:32:39.709844
2001-1-divisjon-12-kleppe-musikklag,2001,1. divisjon,12.0,Kleppe Musikklag,Eirik Gjerdevik,The Essence of Time,['The Essence of Time'],Peter Graham,['Peter Graham'],82.0,100.0,,,,,2025-09-29T23:32:39.709847
2001-2-divisjon-01-alexander-brass-band,2001,2. divisjon,1.0,Alexander Brass Band,Morten Evjeberg Hansen,Quintessence,['Quintessence'],Robert Redhead,['Robert Redhead'],94.0,100.0,,,,,2025-09-29T23:32:39.709851
2001-2-divisjon-02-sørum-musikklag,2001,2. divisjon,2.0,Sørum Musikklag,Trond Elnes,Journey into Freedom,['Journey into Freedom'],Eric Ball,['Eric Ball'],93.0,100.0,,,,,2025-09-29T23:32:39.709855
2001-2-divisjon-03-brøttum-brass,2001,2. divisjon,3.0,Brøttum Brass,Thorbjørn Lunde,Blitz,['Blitz'],Derek Bourgeois,['Derek Bourgeois'],92.0,100.0,,,,,2025-09-29T23:32:39.709858
2001-2-divisjon-04-hornorkesteret-stavanger,2001,2. divisjon,4.0,Hornorkesteret Stavanger,Morten Evjeberg Hansen,Victorian Snapshots - On Ratcliff Highway,['Victorian Snapshots - On Ratcliff Highway'],Ray Steadman-Allen,['Ray Steadman-Allen'],91.0,100.0,,,,,2025-09-29T23:32:39.709862
2001-2-divisjon-05-musikkorpset-gjallarhorn,2001,2. divisjon,5.0,Musikkorpset Gjallarhorn,Rolf Aksel Gilje,Brass Metamorphosis,['Brass Metamorphosis'],James Curnow,['James Curnow'],90.0,100.0,,,,,2025-09-29T23:32:39.709865
2001-2-divisjon-06-laksevåg-musikkforening,2001,2. divisjon,6.0,Laksevåg Musikkforening,Ray Farr,Culloden Moor,['Culloden Moor'],Gareth Wood,['Gareth Wood'],89.0,100.0,,,,,2025-09-29T23:32:39.709869
2001-2-divisjon-07-flesland-musikklag,2001,2. divisjon,7.0,Flesland Musikklag,Tom Eide Osa,Prisms,['Prisms'],Peter Graham,['Peter Graham'],88.0,100.0,,,,,2025-09-29T23:32:39.709872
2001-2-divisjon-08-sem-musikkorps,2001,2. divisjon,8.0,Sem Musikkorps,Laurence Harries,Quintessence,['Quintessence'],Robert Redhead,['Robert Redhead'],87.0,100.0,,,,,2025-09-29T23:32:39.709875
2001-2-divisjon-09-kopervik-musikkorps,2001,2. divisjon,9.0,Kopervik Musikkorps,Melvin White,Odyssey,['Odyssey'],Kevin Norbury,['Kevin Norbury'],86.0,100.0,,,,,2025-09-29T23:32:39.709879
2001-2-divisjon-10-stangaland-brass,2001,2. divisjon,10.0,Stangaland Brass,Steinar Andsnes,Variations on a Chord,['Variations on a Chord'],Jan de Haan,['Jan de Haan'],85.0,100.0,,,,,2025-09-29T23:32:39.709882
2001-2-divisjon-11-austrheim-lindås-musikklag,2001,2. divisjon,11.0,Austrheim Lindås Musikklag,Christian Pettersen Breistein,The Land of the Long White Cloud - Aotearoa,['The Land of the Long White Cloud - Aotearoa'],Philip Sparke,['Philip Sparke'],84.0,100.0,,,,,2025-09-29T23:32:39.709886
2001-2-divisjon-12-tysnes-musikklag,2001,2. divisjon,12.0,Tysnes Musikklag,Yngve Nikolaisen,Connotations,['Connotations'],Edward Gregson,['Edward Gregson'],83.0,100.0,,,,,2025-09-29T23:32:39.709889
2001-2-divisjon-13-haukås-musikklag,2001,2. divisjon,13.0,Haukås Musikklag,Knut Harald Rydland,Princethorpe Variations,['Princethorpe Variations'],Kenneth Downie,['Kenneth Downie'],79.0,100.0,,,,,2025-09-29T23:32:39.709892
2001-2-divisjon-14-oltedal-ålgård-musikkorps,2001,2. divisjon,14.0,Oltedal-Ålgård Musikkorps,Russell Gray,Variations for Brass Band,['Variations for Brass Band'],Vaughan Williams,['Vaughan Williams'],77.0,100.0,,,,,2025-09-29T23:32:39.709896
2001-3-divisjon-01-frei-hornmusikk,2001,3. divisjon,1.0,Frei Hornmusikk,Stein Åge Sørlie,,[],,[],94.0,100.0,,,,,2025-09-29T23:32:39.709899
2001-3-divisjon-02-bergen-brass-band,2001,3. divisjon,2.0,Bergen Brass Band,Knut Harald Rydland,,[],,[],93.0,100.0,,,,,2025-09-29T23:32:39.709902
2001-3-divisjon-03-rosendal-musikklag,2001,3. divisjon,3.0,Rosendal Musikklag,Yngve Nikolaisen,,[],,[],92.0,100.0,,,,,2025-09-29T23:32:39.709905
2001-3-divisjon-04-jølster-musikklag,2001,3. divisjon,4.0,Jølster Musikklag,Gunnar Smaadal,Variations on a Chord,['Variations on a Chord'],Jan de Haan,['Jan de Haan'],90.0,100.0,,,,,2025-09-29T23:32:39.709908
2001-3-divisjon-05-skodje-ungdomskorps,2001,3. divisjon,5.0,Skodje Ungdomskorps,Henrik Dagestad-Dalhaug,,[],,[],89.0,100.0,,,,,2025-09-29T23:32:39.709911
2001-3-divisjon-06-follesø-musikklag,2001,3. divisjon,6.0,Follesø Musikklag,Reid Gilje,,[],,[],87.0,100.0,,,,,2025-09-29T23:32:39.709914
2001-3-divisjon-07-rong-brass,2001,3. divisjon,7.0,Rong Brass,Oddvar Nøstdal,,[],,[],86.0,100.0,,,,,2025-09-29T23:32:39.709917
2001-3-divisjon-08-hasle-brass,2001,3. divisjon,8.0,Hasle Brass,Tarjei Gilbrant,,[],,[],85.0,100.0,,,,,2025-09-29T23:32:39.709920
2001-3-divisjon-09-stavanger-kommunes-korps,2001,3. divisjon,9.0,Stavanger Kommunes Korps,Gunnar Hodne,Music for a Festival,['Music for a Festival'],Philip Sparke,['Philip Sparke'],84.0,100.0,,,,,2025-09-29T23:32:39.709923
2001-3-divisjon-10-førde-musikkorps,2001,3. divisjon,10.0,Førde Musikkorps,Pål W. Jøsok,,[],,[],82.0,100.0,,,,,2025-09-29T23:32:39.709926
2001-3-divisjon-11-langhus-brass,2001,3. divisjon,11.0,Langhus Brass,John-Philip Hannevik,,[],,[],81.0,100.0,,,,,2025-09-29T23:32:39.709929
2001-3-divisjon-12-gjøvik-bybrass,2001,3. divisjon,12.0,Gjøvik Bybrass,Ukjent,,[],,[],80.0,100.0,,,,,2025-09-29T23:32:39.709932
2001-3-divisjon-13-lismarkens-musikforening,2001,3. divisjon,13.0,Lismarkens Musikforening,Botolv Gjeldaker,,[],,[],78.0,100.0,,,,,2025-09-29T23:32:39.709935
2001-3-divisjon-14-grenland-brass,2001,3. divisjon,14.0,Grenland Brass,Ketil Klingberg,,[],,[],77.0,100.0,,,,,2025-09-29T23:32:39.709937
2001-3-divisjon-15-randaberg-musikkorps,2001,3. divisjon,15.0,Randaberg Musikkorps,Ebbe Sivertsen,,[],,[],76.0,100.0,,,,,2025-09-29T23:32:39.709940
2001-3-divisjon-16-nes-musikkforening,2001,3. divisjon,16.0,Nes Musikkforening,Andres Halla,,[],,[],75.0,100.0,,,,,2025-09-29T23:32:39.709943
2002-elite-01-manger-musikklag,2002,Elite,1.0,Manger Musikklag,Allan Withington,Montage,['Montage'],Peter Graham,['Peter Graham'],96.0,100.0,,,,,2025-09-29T23:32:39.715222
2002-elite-02-krohnengen-brass-band,2002,Elite,2.0,Krohnengen Brass Band,Ray Farr,Revelation,['Revelation'],Philip Wilby,['Philip Wilby'],94.0,100.0,,,,,2025-09-29T23:32:39.715227
2002-elite-03-stavanger-brass-band,2002,Elite,3.0,Stavanger Brass Band,Steve Bastable,Tristan Encounters,['Tristan Encounters'],Martin Ellerby,['Martin Ellerby'],93.0,100.0,,,,,2025-09-29T23:32:39.715230
2002-elite-04-molde-brass-band,2002,Elite,4.0,Molde Brass Band,Alan Morrison,Harrison's Dream,"[""Harrison's Dream""]",Peter Graham,['Peter Graham'],91.5,100.0,,,,,2025-09-29T23:32:39.715233
2002-elite-05-oslofjord-brass,2002,Elite,5.0,Oslofjord Brass,Peter Parkes,Contest Music,['Contest Music'],Wilfred Heaton,['Wilfred Heaton'],91.5,100.0,,,,,2025-09-29T23:32:39.715236
