composer,piece_count,performances,wins,win_rate,avg_points
Philip Sparke,41,120,6,4.895722870272181,86.96072906043186
Alfred Reed,24,119,12,7.619224575746315,88.26561781113412
Jan de Haan,9,69,4,3.0615755073959408,88.13364293085655
Frank Ticheli,11,64,9,11.048130613348006,88.27983731244602
Bert Appermont,16,61,4,4.201388888888889,87.43511521464646
Jan Van der Roost,15,59,3,6.527777777777777,88.57586805555555
James Barnes,8,50,2,2.6976495726495724,88.56009615384616
Jacob de Haan,10,44,2,10.666666666666668,87.255
John Brakstad,11,42,1,7.954545454545454,86.73901515151516
Thomas Doss,19,42,2,5.2631578947368425,88.24055330634279
David Maslanka,13,41,2,5.897435897435897,91.03955128205128
Steven Reineke,9,41,0,0.0,87.29603174603174
Ferrer Ferran,13,33,2,8.79120879120879,89.76351648351648
Martin Ellerby,5,29,1,3.095238095238095,91.53869047619048
Satoshi Yagisawa,10,29,4,11.25,90.853125
John Barnes Chance,3,28,4,20.833333333333332,89.1388888888889
Johan de Meij,10,28,1,2.0,86.45549523809524
Helge Hurum,10,28,0,0.8333333333333333,85.33375
Gustav Holst,10,28,3,5.0,86.9486111111111
David R. Gillingham,8,25,0,1.0416666666666665,88.09895833333333
Otto M. Schwarz,14,24,0,0.0,86.65178571428571
Kevin Houben,3,24,0,0.0,85.08730158730158
Samuel R. Hazo,9,24,2,19.62962962962963,88.0611111111111
Adam Gorb,6,22,2,9.615384615384615,87.74145299145299
Aaron Copland,4,22,2,26.38888888888889,89.95833333333333
Egil Hovland,2,22,1,5.263157894736842,89.30254385964912
Edward Gregson,2,21,2,5.0,90.4
Thierry Deleruyelle,7,21,0,0.0,89.24702380952381
James Curnow,4,20,1,1.6666666666666667,85.95
Paul Hart,2,20,0,2.631578947368421,85.57894736842105
Gordon Jacob,6,19,1,7.407407407407407,86.97777777777777
Clifton Williams,5,19,2,21.428571428571427,87.97142857142858
John Mackey,7,18,0,4.761904761904761,88.83916666666667
Peter Graham,8,18,0,4.166666666666666,87.17083333333333
Torstein Aagaard-Nilsen,12,18,1,6.944444444444444,89.20541666666666
Claude T. Smith,5,17,1,21.666666666666664,87.44166666666666
James Swearingen,12,17,0,0.0,86.31944444444444
Henk Badings,2,16,1,20.51282051282051,89.90384615384616
Robert W. Smith,12,15,0,0.0,87.88194444444444
Stephen Bulla,3,15,1,2.5641025641025643,86.8974358974359
Franco Cesarini,8,13,0,0.0,87.125
Guy Woolfenden,3,12,1,12.222222222222221,86.12222222222222
James Edward Curnow,3,11,1,15.873015873015872,89.74761904761904
Stig Nordhagen,7,11,1,3.5714285714285716,88.0825
Karel Husa,5,11,2,14.0,91.02000000000001
Stephen Melillo,3,10,2,21.428571428571427,91.77761904761905
Percy Aldridge Grainger,4,10,1,25.0,89.3125
Derek Bourgeois,5,10,0,6.666666666666666,89.26666666666667
"Oscar Borg, arr. Åge Hermansen",2,9,1,6.25,86.35714285714286
Luis Serrano Alarcòn,3,9,2,25.0,92.125
Svein Henrik Giske,4,9,0,0.0,91.67
Etienne Crausaz,3,9,0,0.0,89.875
Eric Whitacre,3,8,2,40.0,91.71666666666665
Julie Giroux,6,8,1,8.333333333333334,89.25
Robert Edward Jager,4,8,0,0.0,88.77083333333333
Rossano Galante,7,8,1,7.142857142857143,86.5
Henk van Lijnschooten,2,8,1,7.142857142857142,89.83214285714286
Paul Hindemith,2,8,1,10.0,90.18299999999999
Václav Nelhýbel,5,8,0,0.0,91.46666666666667
"Malcom Arnold, arr. John Paynter",3,7,1,16.666666666666668,84.16666666666667
Ron Nelson,4,7,0,0.0,88.895625
Jerker Johansson,5,7,0,0.0,84.83333333333334
"Paul Hindemith, arr. Keith Wilson",2,7,0,0.0,90.16666666666666
Ralph Vaughan Williams,4,7,0,8.333333333333332,86.04166666666667
Oliver Waespi,3,7,0,0.0,90.12666666666667
Clare E. Grundman,2,6,1,10.0,88.63
José Suñer-Oriola,4,6,0,0.0,90.27000000000001
Vincent Persichetti,4,6,0,0.0,87.8125
Øyvind Moe,2,6,0,0.0,87.65
Warren Barker,3,5,0,11.111111111111109,89.7
Mark Camphouse,3,5,0,0.0,85.25
Bjørn Mellemberg,3,5,0,0.0,89.0
Eric Swiggers,2,5,0,0.0,89.25
"Leonard Bernstein, arr. Clare Grundman",5,5,0,0.0,88.4
Knut Nystedt,3,5,0,11.111111111111109,86.33333333333333
Donald Grantham,4,5,0,0.0,87.87375
Brian Balmages,4,4,0,0.0,89.25
Hardy Mertens,2,4,1,25.0,90.4175
André Waignein,2,4,0,16.666666666666664,91.66666666666666
Robert Sheldon,4,4,0,0.0,83.5
Dmitri Shostakovich,4,4,0,0.0,88.05
Robert Buckley,3,4,1,33.333333333333336,90.91666666666667
Jay Bocook,2,4,0,0.0,87.5
"Robert Russell Bennett, arr. James Curnow",2,4,0,16.666666666666664,89.5
Kenneth Hesketh,2,3,0,0.0,92.25
Mauricio Kagel,2,3,1,50.0,91.25
Fredrick Schjelderup,2,3,0,0.0,88.625
Gareth Wood,2,3,1,25.0,89.5
Albert Oliver Davis,3,3,1,33.333333333333336,90.66666666666667
Teo Aparicio-Barberan,2,3,0,0.0,86.75
Gustav Øistensen Aaberg,3,3,0,0.0,89.33333333333333
Manfred Schneider,2,3,1,25.0,86.5
