title,composer,performances,wins,win_rate,avg_points
Puszta (Four Gypsi Dances),Jan Van der Roost,32,2,6.25,89.3046875
Incantation and Dance,John Barnes Chance,24,3,12.5,88.16666666666667
Variations for Band,John Brakstad,24,0,4.166666666666666,86.04583333333333
"Armenian Dances, Part 1",Alfred Reed,23,4,17.391304347826086,89.54347826086956
Blue Shades,Frank Ticheli,23,3,13.043478260869565,90.02173913043478
Music for a Festival,Philip Sparke,23,4,17.391304347826086,87.84782608695652
Lake of the Moon,Kevin Houben,21,0,0.0,88.26190476190476
A Jubilant Overture,Alfred Reed,20,1,5.0,87.675
Festivo,Edward Gregson,20,2,10.0,87.8
Banja Luka,Jan de Haan,19,3,15.789473684210526,90.60526315789474
Overture to a new Age,Jan de Haan,19,0,0.0,87.92105263157895
Theatre Music,Philip Sparke,19,0,0.0,86.44736842105263
Fanfare and Choral,Egil Hovland,19,1,10.526315789473683,88.43842105263157
The Forest of Arden,George Lloyd,19,0,5.263157894736842,88.6842105263158
Dimensions,"Peter Graham, arr. Jan Segers",19,0,5.263157894736842,84.5
Cartoon,Paul Hart,19,0,5.263157894736842,87.15789473684211
El Camino Real,Alfred Reed,18,1,5.555555555555555,88.38888888888889
Dawn Flight,Philip Wilby,18,1,5.555555555555555,88.55555555555556
"Legend, op. 81",James Barnes,18,1,5.555555555555555,88.91666666666667
An Outdoor Overture,Aaron Copland,18,1,5.555555555555555,83.83333333333333
Quatro Variazioni Musicali con Tema Populare,Kees Vlak,18,1,5.555555555555555,81.63888888888889
Hispanola,Jan de Haan,17,1,11.76470588235294,88.67647058823529
Machu Picchu - City in the sky - the mystery of the hidden sun Temple,Satoshi Yagisawa,16,2,12.5,91.03125
Pilatus: Mountain of Dragons,Steven Reineke,15,0,0.0,88.6
subTERRA,Daniel Weinberger,15,4,26.666666666666668,88.86666666666666
Odyssey (Overture on an Epic Poem),James Curnow,15,1,6.666666666666667,87.3
La Storia,Jacob de Haan,15,1,6.666666666666667,85.23333333333333
Paris Sketches,Martin Ellerby,14,1,7.142857142857142,88.46428571428571
Fanfare and Allegro,Clifton Williams,14,1,7.142857142857142,88.35714285714286
Sidus,Thomas Doss,13,0,0.0,87.65384615384616
Stabsarabesk,Olav Anton Thommessen,13,4,30.76923076923077,91.79461538461538
Symphonic Overture,James Barnes,13,1,7.6923076923076925,88.23076923076923
Punchinello Overture,Alfred Reed,13,1,7.6923076923076925,85.61111111111111
