title,composer,performances,wins,win_rate,avg_points,win_rate_category
Variazioni Sinfonische su “Non Potho Reposare”,Hardy Mertens,2,1,50.0,92.33500000000001,40-50%
Music of the Spheres,Philip Sparke,2,1,50.0,92.5,40-50%
"Symphony No IV: Bookmarks from Japan, 1., 2., 4., 5., og 6. sats",Julie Giroux,2,1,50.0,92.0,40-50%
The White Deer,Thomas Doss,2,1,50.0,91.75,40-50%
Pompeii: The Ruins Know the Long and Magnificent History,Satoshi Yagisawa,2,1,50.0,95.0,40-50%
Lux Perpetua,Frank Ticheli,2,1,50.0,93.25,40-50%
Slava!,Leonard Bernstein,2,1,50.0,90.5,40-50%
Aurora Borealis,Rossano Galante,2,1,50.0,90.5,40-50%
Polovetsian Dances from Prince Igor,"Alexander Borodin, arr. Mark Hindsley",2,1,50.0,91.0,40-50%
"Hymn to the Sun - With the Beat of Mother Earth, New version 2010",Satoshi Yagisawa,2,1,50.0,94.5,40-50%
Tower of Babel,Hayato Hirose,2,1,50.0,89.5,40-50%
Symphony no. 2 for Band,John Barnes Chance,2,1,50.0,91.75,40-50%
La Vouivre (The Giant Snake),Thomas Doss,2,1,50.0,92.5,40-50%
Duende,Luis Serrano Alarcòn,2,1,50.0,94.5,40-50%
Symphony no. 7,David Maslanka,2,1,50.0,91.58500000000001,40-50%
Three Mexican Pictures,Gareth Wood,2,1,50.0,89.0,40-50%
Yiddish Dances,Adam Gorb,2,1,50.0,89.5,40-50%
Tintin - Prisoners of the Sun,"Dirk Brossè, arr. Johan de Meij",2,1,50.0,93.0,40-50%
The Playground Project - 3. Urban Funkism,Torstein Aagaard-Nilsen,2,1,50.0,93.0,40-50%
Four Scottisch Dances,"Malcom Arnold, arr. John Paynter",2,1,50.0,87.0,40-50%
Wait of the World,Stephen Melillo,2,1,50.0,92.5,40-50%
Concerto for Wind Ensemble,Karel Husa,2,1,50.0,91.5,40-50%
Affinity and Fellowship,John Brakstad,2,1,50.0,86.5,40-50%
Mountain Panorama,Manfred Schneider,2,1,50.0,89.0,40-50%
De lystige koner i Windsor,Carl Otto Ehrenfried Nicolai,2,1,50.0,93.85,40-50%
Suite of Old American Dances,"Robert Russell Bennett, arr. James Curnow",3,0,33.33333333333333,88.0,30-40%
The Frozen Cathedral,John Mackey,3,0,33.33333333333333,93.0,30-40%
Underlige Aftenlufte,"Carl Nielsen, arr. Stig Gustafson",3,0,33.33333333333333,91.83333333333333,30-40%
Homenaje a Joaquìn Sorolla Cuados Sinfònicos,"Bernardo Adam Ferrero, arr. Anders Högstedt",9,2,33.33333333333333,92.38555555555556,30-40%
Ildfuglen,"Igor Stravinsky, arr. Randy Earles/Frederick Fennell",3,0,33.33333333333333,94.11,30-40%
Ride,Samuel R. Hazo,3,0,33.33333333333333,88.66666666666667,30-40%
"Symphony no. 6, A Cotswold Symphony",Derek Bourgeois,3,0,33.33333333333333,91.33333333333333,30-40%
Dance Movements,Philip Sparke,3,0,33.33333333333333,90.83333333333333,30-40%
"Tanczi, 1. Trepak 2. Garavot 3. Troika",Jan Van der Roost,3,0,33.33333333333333,88.5,30-40%
Diagram for Symphonic Band,André Waignein,3,0,33.33333333333333,91.33333333333333,30-40%
William Byrd Suite,Gordon Jacob,3,0,33.33333333333333,89.0,30-40%
Dionysiaques,"Florent Schmitt, arr. Jeffrey Steiner",6,1,33.33333333333333,91.0,30-40%
Sinfonietta for Concert Band,Ingolf Dahl,3,0,33.33333333333333,90.16666666666667,30-40%
Sevens,Samuel R. Hazo,3,0,33.33333333333333,90.0,30-40%
The Incredibles,"Michael Giacchino, arr. Takashi Hoshide",3,0,33.33333333333333,91.16666666666667,30-40%
Sensemayà,"Silvestre Revueltas, arr. Christiaan Jansen",3,0,33.33333333333333,91.33333333333333,30-40%
Norwegian Dance,Torstein Aagaard-Nilsen,3,0,33.33333333333333,86.0,30-40%
Folk Song Suite for Military Band,Ralph Vaughan Williams,3,0,33.33333333333333,86.66666666666667,30-40%
"Puszta, 4. sats",Jan Van der Roost,3,0,33.33333333333333,88.66666666666667,30-40%
Elements of the Ancients,John Brakstad,3,0,33.33333333333333,91.16666666666667,30-40%
Basie,Øyvind Westbye,3,0,33.33333333333333,89.66666666666667,30-40%
Entrata Festiva,Knut Nystedt,3,0,33.33333333333333,90.0,30-40%
Four Colonial Country Dances,James Edward Curnow,3,0,33.33333333333333,85.0,30-40%
Gaelforce,Peter Graham,3,0,33.33333333333333,88.33333333333333,30-40%
