title,composer,performances,wins,win_rate_percent,avg_points,duration_minutes,difficulty,category,windrep_url
Symfoni no. 1,"Dmitri Shostakovich, arr. Peter Sebastian Szilvay",1,1,100.0,97.67,,,,
The Miraculous Mandarin,Béla Bartók,1,0,0.0,95.67,,,,
Dionysiaques,"Florent Schmitt, arr. Felix Hauswirth",1,0,0.0,93.33,,,,
El Jardin de Las Herspérides,José Suñer-Oriola,3,0,0.0,94.28,,,,
Bergakungen Suite,"Hugo Alfvén, arr. Anders Högstedt",2,0,0.0,92.16,,,,
Gendarmes' Duet,"Jaques Offenbach, arr. Ingar Bergby",1,0,0.0,89.0,,,,
Variazioni Sinfonische su “Non Potho Reposare”,Hardy Mertens,2,1,50.0,92.34,,,,
Memorias de un Hombre de Ciudad,Luis Serrano Alarcòn,4,1,25.0,90.88,,,,
From Ancient Times,Jan Van der Roost,4,1,25.0,90.62,,,,
"Symphony no. 1, ‘Gilgamesh’",Bert Appermont,9,2,22.22,90.8,,,,
Music of the Spheres,Philip Sparke,2,1,50.0,92.5,,,,
Fraternity,Thierry Deleruyelle,3,0,0.0,94.0,,,,
Traveler,David Maslanka,8,0,0.0,89.94,,,,
Tales and Legends,Etienne Crausaz,4,0,0.0,91.38,,,,
A Midnight Dance... Through The Poison Garden,Ryan George,1,0,0.0,88.0,,,,
La Fiesta Mexicana,Harry Owen Reed,1,0,0.0,87.0,,,,
Angels in the Architecture,Frank Ticheli,9,2,22.22,90.22,,,,
Fantasy Variations,Donald Grantham,2,0,0.0,88.16,,,,
Stone Age,Thomas Doss,1,0,0.0,83.0,,,,
Symphony No IV: Bookmarks from Japan,Julie Giroux,2,0,0.0,88.0,,,,
Variations for Wind Band,Ralph Vaughan Williams,1,0,0.0,81.0,,,,
"So Nata Per Te (Born For You), 1., 2. og 4. sats",Ferrer Ferran,1,1,100.0,92.5,,,,
Divertimento,Oliver Waespi,4,0,0.0,92.38,,,,
Mountain Songs and Arias,Stig Nordhagen,1,0,0.0,91.0,,,,
"Sinfonia no 1, Tormenta del Desierto",Ferrer Ferran,2,0,0.0,92.25,,,,
Gulliver's Travels,Bert Appermont,5,1,20.0,90.1,,,,
Danzón no. 2,"Arturo Marques, trans. Oliver Nickel",9,1,11.11,87.91,,,,
"Symphony No IV: Bookmarks from Japan, 1., 2., 4., 5., og 6. sats",Julie Giroux,2,1,50.0,92.0,,,,
"Ballet Suite nr 5, The Bolt (1. Overture, 6. Dance of the Colonial Bondswoman, 8. General Dance and Apotheosis)",Dmitri Shostakovich,1,0,0.0,87.0,,,,
Spartacus,Jan Van der Roost,3,0,0.0,86.67,,,,
Lux Futura,Kevin Houben,2,0,0.0,85.0,,,,
Lake of the Moon,Kevin Houben,21,0,0.0,88.26,,,,
Overalt - Alltid,Øyvind Strand,1,0,0.0,83.0,,,,
Redline Tango,John Mackey,3,0,0.0,87.27,,,,
Sidus,Thomas Doss,13,0,0.0,87.65,,,,
I Fred Blant Träden Bo,Isak Hård,1,0,0.0,81.0,,,,
The White Deer,Thomas Doss,2,1,50.0,91.75,,,,
Pequeña Suite para Banda,Luis Serrano Alarcòn,3,0,0.0,91.0,,,,
Banja Luka,Jan de Haan,19,3,15.79,90.61,,,,
Testament,David Maslanka,2,0,0.0,93.0,,,,
