rank,title,composer,performances,wins,win_rate_percent,avg_points,duration_minutes,difficulty,category,windrep_url
1,Puszta (Four Gypsi Dances),Jan Van der Roost,32,2,6.25,89.3,,,,
2,Incantation and Dance,John Barnes Chance,24,3,12.5,88.17,7.833333333333333,,,https://www.windrep.org/Incantation_and_Dance
3,Variations for Band,John Brakstad,24,0,4.17,86.05,,,,
4,"Armenian Dances, Part 1",Alfred Reed,23,4,17.39,89.54,,,,
5,Blue Shades,Frank Ticheli,23,3,13.04,90.02,10.5,,,https://www.windrep.org/Blue_Shades
6,Music for a Festival,Philip Sparke,23,4,17.39,87.85,33.833333333333336,,,https://www.windrep.org/Music_for_a_Festival
7,Lake of the Moon,Kevin Houben,21,0,0.0,88.26,,,,
8,A Jubilant Overture,Alfred Reed,20,1,5.0,87.67,,,,
9,Festivo,Edward Gregson,20,2,10.0,87.8,2.5,,,https://www.windrep.org/Festivo
10,Banja Luka,Jan de Haan,19,3,15.79,90.61,,,,
11,Overture to a new Age,Jan de Haan,19,0,0.0,87.92,,,,
12,Theatre Music,Philip Sparke,19,0,0.0,86.45,10.366666666666667,,,https://www.windrep.org/Theatre_Music
13,Fanfare and Choral,Egil Hovland,19,1,10.53,88.44,7.583333333333333,,,https://www.windrep.org/Fanfare_and_Choral
14,The Forest of Arden,George Lloyd,19,0,5.26,88.68,,,,
15,Dimensions,"Peter Graham, arr. Jan Segers",19,0,5.26,84.5,,,,https://www.windrep.org/Dimensions_of_Seven
16,Cartoon,Paul Hart,19,0,5.26,87.16,9.916666666666666,,,https://www.windrep.org/Cartoon
17,El Camino Real,Alfred Reed,18,1,5.56,88.39,10.0,,,https://www.windrep.org/El_Camino_Real
18,Dawn Flight,Philip Wilby,18,1,5.56,88.56,9.0,,,https://www.windrep.org/Dawn_Flight
19,"Legend, op. 81",James Barnes,18,1,5.56,88.92,,,,
20,An Outdoor Overture,Aaron Copland,18,1,5.56,83.83,,,,
21,Quatro Variazioni Musicali con Tema Populare,Kees Vlak,18,1,5.56,81.64,,,,
22,Hispanola,Jan de Haan,17,1,11.76,88.68,,,,
23,Machu Picchu - City in the sky - the mystery of the hidden sun Temple,Satoshi Yagisawa,16,2,12.5,91.03,,,,
24,Pilatus: Mountain of Dragons,Steven Reineke,15,0,0.0,88.6,10.0,,,https://www.windrep.org/Pilatus:_Mountain_of_Dragons
25,subTERRA,Daniel Weinberger,15,4,26.67,88.87,,,,
