rank,title,composer,performances,wins,win_rate_percent,avg_points,duration_minutes,difficulty,category,windrep_url
1,Variazioni Sinfonische su “Non Potho Reposare”,Hardy Mertens,2,1,50.0,92.34,,,,
2,Music of the Spheres,Philip Sparke,2,1,50.0,92.5,,,,
3,"Symphony No IV: Bookmarks from Japan, 1., 2., 4., 5., og 6. sats",Julie Giroux,2,1,50.0,92.0,,,,
4,The White Deer,Thomas Doss,2,1,50.0,91.75,,,,
5,Pompeii: The Ruins Know the Long and Magnificent History,Satoshi Yagisawa,2,1,50.0,95.0,,,,
6,Lux Perpetua,Frank Ticheli,2,1,50.0,93.25,,,,
7,Slava!,Leonard Bernstein,2,1,50.0,90.5,,,,
8,Aurora Borealis,Rossano Galante,2,1,50.0,90.5,,,,
9,Polovetsian Dances from Prince Igor,"Alexander Borodin, arr. Mark Hindsley",2,1,50.0,91.0,,,,
10,"Hymn to the Sun - With the Beat of Mother Earth, New version 2010",Satoshi Yagisawa,2,1,50.0,94.5,,,,
11,Tower of Babel,Hayato Hirose,2,1,50.0,89.5,,,,
12,Symphony no. 2 for Band,John Barnes Chance,2,1,50.0,91.75,,,,
13,La Vouivre (The Giant Snake),Thomas Doss,2,1,50.0,92.5,,,,
14,Duende,Luis Serrano Alarcòn,2,1,50.0,94.5,,,,
15,Symphony no. 7,David Maslanka,2,1,50.0,91.59,,,,
16,Three Mexican Pictures,Gareth Wood,2,1,50.0,89.0,,,,
17,Yiddish Dances,Adam Gorb,2,1,50.0,89.5,,,,
18,Tintin - Prisoners of the Sun,"Dirk Brossè, arr. Johan de Meij",2,1,50.0,93.0,,,,
19,The Playground Project - 3. Urban Funkism,Torstein Aagaard-Nilsen,2,1,50.0,93.0,,,,
20,Four Scottisch Dances,"Malcom Arnold, arr. John Paynter",2,1,50.0,87.0,,,,
21,Wait of the World,Stephen Melillo,2,1,50.0,92.5,,,,
22,Concerto for Wind Ensemble,Karel Husa,2,1,50.0,91.5,,,,
23,Affinity and Fellowship,John Brakstad,2,1,50.0,86.5,,,,
24,Mountain Panorama,Manfred Schneider,2,1,50.0,89.0,,,,
25,De lystige koner i Windsor,Carl Otto Ehrenfried Nicolai,2,1,50.0,93.85,,,,
26,Suite of Old American Dances,"Robert Russell Bennett, arr. James Curnow",3,0,33.33,88.0,,,,
27,The Frozen Cathedral,John Mackey,3,0,33.33,93.0,,,,
28,Underlige Aftenlufte,"Carl Nielsen, arr. Stig Gustafson",3,0,33.33,91.83,,,,
29,Homenaje a Joaquìn Sorolla Cuados Sinfònicos,"Bernardo Adam Ferrero, arr. Anders Högstedt",9,2,33.33,92.39,,,,
30,Ildfuglen,"Igor Stravinsky, arr. Randy Earles/Frederick Fennell",3,0,33.33,94.11,,,,
31,Ride,Samuel R. Hazo,3,0,33.33,88.67,,,,
32,"Symphony no. 6, A Cotswold Symphony",Derek Bourgeois,3,0,33.33,91.33,,,,
33,Dance Movements,Philip Sparke,3,0,33.33,90.83,,,,
34,"Tanczi, 1. Trepak 2. Garavot 3. Troika",Jan Van der Roost,3,0,33.33,88.5,,,,
35,Diagram for Symphonic Band,André Waignein,3,0,33.33,91.33,,,,
36,William Byrd Suite,Gordon Jacob,3,0,33.33,89.0,,,,
37,Dionysiaques,"Florent Schmitt, arr. Jeffrey Steiner",6,1,33.33,91.0,,,,
38,Sinfonietta for Concert Band,Ingolf Dahl,3,0,33.33,90.17,,,,
39,Sevens,Samuel R. Hazo,3,0,33.33,90.0,,,,
40,The Incredibles,"Michael Giacchino, arr. Takashi Hoshide",3,0,33.33,91.17,,,,
41,Sensemayà,"Silvestre Revueltas, arr. Christiaan Jansen",3,0,33.33,91.33,,,,
42,Norwegian Dance,Torstein Aagaard-Nilsen,3,0,33.33,86.0,,,,
43,Folk Song Suite for Military Band,Ralph Vaughan Williams,3,0,33.33,86.67,,,,
44,"Puszta, 4. sats",Jan Van der Roost,3,0,33.33,88.67,,,,
45,Elements of the Ancients,John Brakstad,3,0,33.33,91.17,,,,
46,Basie,Øyvind Westbye,3,0,33.33,89.67,,,,
47,Entrata Festiva,Knut Nystedt,3,0,33.33,90.0,,,,
48,Four Colonial Country Dances,James Edward Curnow,3,0,33.33,85.0,,,,
49,Gaelforce,Peter Graham,3,0,33.33,88.33,,,,
50,Pineapple Poll,Arthur Sullivan,3,0,33.33,91.5,,,,
