id,year,division,rank,orchestra,conductor,pieces,pieces_list,composers,composers_list,points,max_points,image_url,orchestra_url,conductor_url,piece_urls,scraped_at
1989-1-divisjon-01-vestre-aker-musikkorps,1989,1. divisjon,1,Vestre Aker Musikkorps,Ingar Bergby,"Music for Prague 1968, 1., 3. og 4. sats; Overture for fun (plikt)","['Music for Prague 1968, 1., 3. og 4. sats', 'Overture for fun (plikt)']",,[],94.15,100.0,https://nmbrass.no/nmjanitsjar/static/vestreakermusikkorps.jpg,,,,2025-09-23T12:51:04.413442
1989-1-divisjon-02-bispehaugen-ungdomskorps,1989,1. divisjon,2,Bispehaugen Ungdomskorps,Karl Ole Midtbø,"Slavonic Rhapsody No. 2, Op. 269; Overture for fun (plikt)","['Slavonic Rhapsody No. 2, Op. 269', 'Overture for fun (plikt)']",,[],93.3,100.0,https://nmbrass.no/nmjanitsjar/static/bispehaugenungdomskorps.jpg,,,,2025-09-23T12:51:04.413444
1989-1-divisjon-03-lillestrøm-musikkorps,1989,1. divisjon,3,Lillestrøm Musikkorps,Kjell Martinsen,"Fanfare, Ballad and Jubilee; Overture for fun (plikt)","['Fanfare, Ballad and Jubilee', 'Overture for fun (plikt)']",,[],93.0,100.0,https://www.lillestrom-musikkorps.no/data/files/bilde17-brussel1.jpg,,,,2025-09-23T12:51:04.413447
1989-1-divisjon-04-skjetten-ungdomskorps,1989,1. divisjon,4,Skjetten Ungdomskorps,Svein Greni,Symphony no. 1 for Band; Overture for fun (plikt),"['Symphony no. 1 for Band', 'Overture for fun (plikt)']",,[],92.8,100.0,,,,,2025-09-23T12:51:04.413449
1989-1-divisjon-05-lørenskog-musikkorps,1989,1. divisjon,5,Lørenskog Musikkorps,Pål Gløtta,Incantation and Dance; Overture for fun (plikt),"['Incantation and Dance', 'Overture for fun (plikt)']",,[],91.45,100.0,https://nmbrass.no/nmjanitsjar/static/lorenskogmusikkorps.jpg,,,,2025-09-23T12:51:04.413451
1989-1-divisjon-06-opus-82,1989,1. divisjon,6,Opus 82,Terje Wiik Mikkelsen,"Carnival in Paris, Op. 9; Overture for fun (plikt)","['Carnival in Paris, Op. 9', 'Overture for fun (plikt)']",,[],89.3,100.0,"https://static.wixstatic.com/media/8835a5_5cd78cff169f454fb6d0a54169c9106d.jpg/v1/fill/w_472,h_330,al_c,q_80,usm_0.66_1.00_0.01/8835a5_5cd78cff169f454fb6d0a54169c9106d.jpg",,,,2025-09-23T12:51:04.413453
1989-1-divisjon-07-lier-ungdomskorps,1989,1. divisjon,7,Lier Ungdomskorps,Oddvar Mikalsen,"Soirèes Musicales, suite of 5 movements from Rossini; Overture for fun (plikt)","['Soirèes Musicales, suite of 5 movements from Rossini', 'Overture for fun (plikt)']",,[],87.65,100.0,,,,,2025-09-23T12:51:04.413456
1989-2-divisjon-01-halsen-musikkforening,1989,2. divisjon,1,Halsen Musikkforening,Sigmund Ofstad,El Camino Real; Norwegian Suite for Band (plikt),"['El Camino Real', 'Norwegian Suite for Band (plikt)']",,[],95.0,100.0,,,,,2025-09-23T12:51:04.413458
1989-2-divisjon-02-sande-musikkorps,1989,2. divisjon,2,Sande Musikkorps,Øystein Horne,El Camino Real; Norwegian Suite for Band (plikt),"['El Camino Real', 'Norwegian Suite for Band (plikt)']",,[],90.0,100.0,,,,,2025-09-23T12:51:04.413460
1989-2-divisjon-03-bodø-harmonimusikk,1989,2. divisjon,3,Bodø Harmonimusikk,Tor Halvard Nilsen,A Festive Overture (for Concert Band); Norwegian Suite for Band (plikt),"['A Festive Overture (for Concert Band)', 'Norwegian Suite for Band (plikt)']",,[],89.0,100.0,https://www.gratisnettsted.com/login/members/imagemanager/images/2afe4567e1bf64d32a5527244d104cea/Bilder/NM2015.JPG,,,,2025-09-23T12:51:04.413463
1989-2-divisjon-04-slemmestad-ungdomskorps,1989,2. divisjon,4,Slemmestad Ungdomskorps,Arild Andersen,A Jubilant Overture; Norwegian Suite for Band (plikt),"['A Jubilant Overture', 'Norwegian Suite for Band (plikt)']",,[],88.5,100.0,,,,,2025-09-23T12:51:04.413465
1989-2-divisjon-05-austrheim-lindås-janitsjar,1989,2. divisjon,5,Austrheim-Lindås Janitsjar,Helge Haukås,Horda Rapsodi; Norwegian Suite for Band (plikt),"['Horda Rapsodi', 'Norwegian Suite for Band (plikt)']",,[],87.0,100.0,,,,,2025-09-23T12:51:04.413467
1989-2-divisjon-06-hønefoss-ungdomskorps,1989,2. divisjon,6,Hønefoss Ungdomskorps,Terje Boye Hansen,"Symphony no. 3 “Slavyanskaya”, 1., 2. og 4. sats; Norwegian Suite for Band (plikt)","['Symphony no. 3 “Slavyanskaya”, 1., 2. og 4. sats', 'Norwegian Suite for Band (plikt)']",,[],86.5,100.0,,,,,2025-09-23T12:51:04.413469
1989-2-divisjon-07-nittedal-og-hakadal-janitsjar,1989,2. divisjon,7,Nittedal og Hakadal Janitsjar,Ola Gudmundsen,Entrata Festiva; Norwegian Suite for Band (plikt),"['Entrata Festiva', 'Norwegian Suite for Band (plikt)']",,[],85.0,100.0,http://musikkorps.no/wp-content/uploads/2015/01/NM-Nittedal-og-Hakadal-Janitsjar.jpg,,,,2025-09-23T12:51:04.413471
1989-2-divisjon-08-skjeberg-musikkorps,1989,2. divisjon,8,Skjeberg Musikkorps,Reidar Bergby,A Jubilant Overture; Norwegian Suite for Band (plikt),"['A Jubilant Overture', 'Norwegian Suite for Band (plikt)']",,[],,100.0,,,,,2025-09-23T12:51:04.413473
1989-3-divisjon-01-musikkforeningen-nidarholm,1989,3. divisjon,1,Musikkforeningen Nidarholm,Tom Wulff,A Jubilant Overture; Soldat van Oranje (plikt),"['A Jubilant Overture', 'Soldat van Oranje (plikt)']",,[],93.0,100.0,https://nidarholm.no/data/gallery/gallery1/img/dsc0378-web.jpg,,,,2025-09-23T12:51:04.413475
1989-3-divisjon-02-gjallarhorn,1989,3. divisjon,2,Gjallarhorn,Trond Brenne,Exaltation; Soldat van Oranje (plikt),"['Exaltation', 'Soldat van Oranje (plikt)']",,[],87.0,100.0,,,,,2025-09-23T12:51:04.413477
1989-3-divisjon-03-bryne-musikkorps,1989,3. divisjon,3,Bryne Musikkorps,Tor Anton Haarr,Vier Impressies/Four Impressions; Soldat van Oranje (plikt),"['Vier Impressies/Four Impressions', 'Soldat van Oranje (plikt)']",,[],85.5,100.0,,,,,2025-09-23T12:51:04.413479
