id,year,division,rank,orchestra,conductor,pieces,pieces_list,composers,composers_list,points,max_points,image_url,orchestra_url,conductor_url,piece_urls,scraped_at
2022-elite-01-musikkforeningen-nidarholm,2022,Elite,1,Musikkforeningen Nidarholm,Bjørn Sagstad,"Mountain Songs and Arias; Danse Satanique; Symphony no. 3, II Variations on the ""Porazzi"" Theme of Wagner","['Mountain Songs and Arias', 'Danse Satanique', 'Symphony no. 3, II Variations on the ""Porazzi"" Theme of Wagner']",,[],97.7,100.0,https://nidarholm.no/data/gallery/gallery1/img/dsc0378-web.jpg,,,,2025-09-23T13:20:59.970063
2022-elite-02-christiania-blåseensemble,2022,Elite,2,Christiania Blåseensemble,Nils Erik Måseidvåg,"69 Marching Bars of Leftovers From an Old Century; King Mangoberry, 1. og 3. sats; Goldberg 2012","['69 Marching Bars of Leftovers From an Old Century', 'King Mangoberry, 1. og 3. sats', 'Goldberg 2012']",,[],96.7,100.0,https://nmbrass.no/nmjanitsjar/static/christianiablaseensemble.jpg,,,,2025-09-23T13:20:59.970067
2022-elite-03-lillestrøm-musikkorps,2022,Elite,3,Lillestrøm Musikkorps,Trond Sverre Myhre,An Gé Fhián; Extreme Make-Over,"['An Gé Fhián', 'Extreme Make-Over']",The Wild Goose,['The Wild Goose'],95.7,100.0,https://www.lillestrom-musikkorps.no/data/files/bilde17-brussel1.jpg,,,,2025-09-23T13:20:59.970071
2022-elite-04-opus-82,2022,Elite,4,Opus 82,Sverre Stakston Olsrud,"Organ Sonata no. 4, BWV 528 Andante; Macbeth, Music After Act 1 of Shakespeare's Play","['Organ Sonata no. 4, BWV 528 Andante', ""Macbeth, Music After Act 1 of Shakespeare's Play""]",,[],91.0,100.0,"https://static.wixstatic.com/media/8835a5_5cd78cff169f454fb6d0a54169c9106d.jpg/v1/fill/w_472,h_330,al_c,q_80,usm_0.66_1.00_0.01/8835a5_5cd78cff169f454fb6d0a54169c9106d.jpg",,,,2025-09-23T13:20:59.970074
2022-elite-05-strusshamn-musikkforening,2022,Elite,5,Strusshamn Musikkforening,Reid Gilje,Aulos symphony,['Aulos symphony'],,[],90.3,100.0,https://nmbrass.no/nmjanitsjar/static/strusshamnmusikkforening.jpg,,,,2025-09-23T13:20:59.970076
2022-elite-06-dragefjellets-musikkorps-bergen,2022,Elite,6,Dragefjellets Musikkorps Bergen,Svein Henrik Giske,Sinfonia di Soffiatori Nr. 3 / Sinfonietta de Soffiatori; October,"['Sinfonia di Soffiatori Nr. 3 / Sinfonietta de Soffiatori', 'October']","Sinfonisches Poem für Orchester, Op. 131","['Sinfonisches Poem für Orchester, Op. 131']",89.7,100.0,http://dragene.no/wp-content/uploads/2016/03/12821425_10154123000919101_6934214023861599412_n.jpg,,,,2025-09-23T13:20:59.970079
2022-elite-07-mo-hornmusikk,2022,Elite,7,Mo Hornmusikk,Reid Gilje,"Symphony no. 6, A Cotswold Symphony","['Symphony no. 6, A Cotswold Symphony']",,[],89.0,100.0,https://nmbrass.no/nmjanitsjar/static/mohornmusikk.jpg,,,,2025-09-23T13:20:59.970081
2022-elite-08-kolbotn-konsertorkester,2022,Elite,8,Kolbotn Konsertorkester,Jan-Erik Hybertsen,Instant Music; Equus,"['Instant Music', 'Equus']",,[],87.0,100.0,,,,,2025-09-23T13:20:59.970083
2022-1-divisjon-01-sarpsborg-janitsjarkorps,2022,1. divisjon,1,Sarpsborg Janitsjarkorps,Frode Amundsen,Dance Movements,['Dance Movements'],,[],96.0,100.0,https://nmbrass.no/nmjanitsjar/static/sarpsborgjanitsjarkorps.jpg,,,,2025-09-23T13:20:59.970086
2022-1-divisjon-02-stavanger-musikkorps-av-1919,2022,1. divisjon,2,Stavanger Musikkorps av 1919,Guro A. Haugli,Zenith of the Maya,['Zenith of the Maya'],,[],95.0,100.0,https://nmbrass.no/nmjanitsjar/static/stavangermusikkorps1919.jpg,,,,2025-09-23T13:20:59.970088
