id,year,division,rank,orchestra,conductor,pieces,pieces_list,composers,composers_list,points,max_points,image_url,orchestra_url,conductor_url,piece_urls,scraped_at
1981-1-divisjon-01-dragefjellets-musikkorps-bergen,1981,1. divisjon,1,Dragefjellets Musikkorps Bergen,Ragnar Maalen,Variants on a Mediaeval Tune; De lystige koner i Windsor (plikt),"['Variants on a Mediaeval Tune', 'De lystige koner i Windsor (plikt)']",,[],96.5,100.0,http://dragene.no/wp-content/uploads/2016/03/12821425_10154123000919101_6934214023861599412_n.jpg,,,,2025-09-21T19:51:31.526679
1981-1-divisjon-02-bispehaugen-ungdomskorps,1981,1. divisjon,2,Bispehaugen Ungdomskorps,Sigmund Ofstad,En Natt på Bloksberg; De lystige koner i Windsor (plikt),"['En Natt på Bloksberg', 'De lystige koner i Windsor (plikt)']",,[],91.2,100.0,https://nmbrass.no/nmjanitsjar/static/bispehaugenungdomskorps.jpg,,,,2025-09-21T19:51:31.526684
1981-2-divisjon-01-nittedal-og-hakadal-janitsjar,1981,2. divisjon,1,Nittedal og Hakadal Janitsjar,Rolf Myhre,First Suite in Eb for Military Band; Sinfonietta (plikt),"['First Suite in Eb for Military Band', 'Sinfonietta (plikt)']",,[],90.4,100.0,http://musikkorps.no/wp-content/uploads/2015/01/NM-Nittedal-og-Hakadal-Janitsjar.jpg,,,,2025-09-21T19:51:31.526688
1981-2-divisjon-02-sandefjord-musikkorps,1981,2. divisjon,2,Sandefjord Musikkorps,Per Christian Ormar,Festive Overture; Sinfonietta (plikt),"['Festive Overture', 'Sinfonietta (plikt)']",,[],90.4,100.0,http://www.sandefjord-musikkorps.no/assets/images/vi-er-smk.jpg,,,,2025-09-21T19:51:31.526690
1981-2-divisjon-03-årstad-musikkorps,1981,2. divisjon,3,Årstad Musikkorps,Helge Haukås,Horda Rapsodi; Sinfonietta (plikt),"['Horda Rapsodi', 'Sinfonietta (plikt)']",,[],85.5,100.0,,,,,2025-09-21T19:51:31.526693
1981-2-divisjon-04-sandvikens-ungdomskorps,1981,2. divisjon,4,Sandvikens Ungdomskorps,Truls Tønnesen,Second Suite in F for Military Band; Sinfonietta (plikt),"['Second Suite in F for Military Band', 'Sinfonietta (plikt)']",,[],83.4,100.0,,,,,2025-09-21T19:51:31.526695
1982-1-divisjon-01-sarpsborg-ungdomskorps,1982,1. divisjon,1,Sarpsborg Ungdomskorps,Steinar Haakenstad,Festive Overture; Eufonie (plikt),"['Festive Overture', 'Eufonie (plikt)']",,[],92.0,100.0,,,,,2025-09-21T19:51:31.544300
1982-1-divisjon-02-hamar-musikkorps,1982,1. divisjon,2,Hamar Musikkorps,Ragnar Røgeberg,En Natt på Bloksberg; Eufonie (plikt),"['En Natt på Bloksberg', 'Eufonie (plikt)']",,[],88.9,100.0,,,,,2025-09-21T19:51:31.544305
1982-1-divisjon-03-stavanger-musikkorps-av-1919,1982,1. divisjon,3,Stavanger Musikkorps av 1919,Robert Rønnes,An Outdoor Overture; Eufonie (plikt),"['An Outdoor Overture', 'Eufonie (plikt)']",,[],87.7,100.0,https://nmbrass.no/nmjanitsjar/static/stavangermusikkorps1919.jpg,,,,2025-09-21T19:51:31.544313
1982-1-divisjon-04-sandefjord-musikkorps,1982,1. divisjon,4,Sandefjord Musikkorps,Per Christian Ormar,"Akademisk festovertyre, Op. 80; Eufonie (plikt)","['Akademisk festovertyre, Op. 80', 'Eufonie (plikt)']",,[],81.4,100.0,http://www.sandefjord-musikkorps.no/assets/images/vi-er-smk.jpg,,,,2025-09-21T19:51:31.544316
1982-2-divisjon-01-aalesunds-ungdomsmusikkorps,1982,2. divisjon,1,Aalesunds Ungdomsmusikkorps,Tor Haram,Marinarella; Festive Piece (plikt),"['Marinarella', 'Festive Piece (plikt)']",,[],91.0,100.0,,,,,2025-09-21T19:51:31.544318
1982-2-divisjon-02-årstad-musikkorps,1982,2. divisjon,2,Årstad Musikkorps,Helge Haukås,Festive Piece (plikt),['Festive Piece (plikt)'],,[],90.2,100.0,,,,,2025-09-21T19:51:31.544321
1982-2-divisjon-03-heimdal-musikkorps,1982,2. divisjon,3,Heimdal Musikkorps,Nils Kvenild,Festive Piece (plikt),['Festive Piece (plikt)'],,[],89.7,100.0,https://nmbrass.no/nmjanitsjar/static/heimdalmusikkorps.jpg,,,,2025-09-21T19:51:31.544324
1982-2-divisjon-04-musikklaget-brage,1982,2. divisjon,4,Musikklaget Brage,Per Grønli,Festive Piece (plikt),['Festive Piece (plikt)'],,[],88.9,100.0,,,,,2025-09-21T19:51:31.544326
1982-2-divisjon-05-strinda-ungdomskorps,1982,2. divisjon,5,Strinda Ungdomskorps,Stein Jacobsen,Festive Piece (plikt),['Festive Piece (plikt)'],,[],86.5,100.0,,,,,2025-09-21T19:51:31.544328
1983-1-divisjon-01-dragefjellets-musikkorps-bergen,1983,1. divisjon,1,Dragefjellets Musikkorps Bergen,Per Hannevold,Fanfare and Choral; Lincolnshire Posy (plikt),"['Fanfare and Choral', 'Lincolnshire Posy (plikt)']",,[],94.5,100.0,http://dragene.no/wp-content/uploads/2016/03/12821425_10154123000919101_6934214023861599412_n.jpg,,,,2025-09-21T19:51:31.562397
1983-1-divisjon-02-hamar-musikkorps,1983,1. divisjon,2,Hamar Musikkorps,Ragnar Røgeberg,Hjalar; Lincolnshire Posy (plikt),"['Hjalar', 'Lincolnshire Posy (plikt)']",Ljod,['Ljod'],93.2,100.0,,,,,2025-09-21T19:51:31.562405
1983-1-divisjon-05-bispehaugen-ungdomskorps,1983,1. divisjon,5,Bispehaugen Ungdomskorps,Sigmund Ofstad,Bergensiana; Lincolnshire Posy (plikt),"['Bergensiana', 'Lincolnshire Posy (plikt)']",,[],89.9,100.0,https://nmbrass.no/nmjanitsjar/static/bispehaugenungdomskorps.jpg,,,,2025-09-21T19:51:31.562408
1983-2-divisjon-05-nesodden-ungdomskors,1983,2. divisjon,5,Nesodden Ungdomskors,Terje Wiik Mikkelsen,Chorale and Shaker Dance; Blow out (plikt),"['Chorale and Shaker Dance', 'Blow out (plikt)']",,[],86.7,100.0,,,,,2025-09-21T19:51:31.562411
1984-1-divisjon-01-stabekk-janitsjarorkester,1984,1. divisjon,1,Stabekk Janitsjarorkester,Terje Wiik Mikkelsen,Overtyre til Barbereren i Sevilla; Epiphany (plikt),"['Overtyre til Barbereren i Sevilla', 'Epiphany (plikt)']",,[],93.3,100.0,http://www.sjo.no/images/SJO-planetene-2015-922px.jpg,,,,2025-09-21T19:51:31.576652
1984-2-divisjon-01-lier-ungdomskorps,1984,2. divisjon,1,Lier Ungdomskorps,Gunnar Lintvedt,Alpen Sketches (plikt),['Alpen Sketches (plikt)'],,[],92.7,100.0,,,,,2025-09-21T19:51:31.576657
1984-2-divisjon-05-slemmestad-ungdomskorps,1984,2. divisjon,5,Slemmestad Ungdomskorps,Arvid Evju,Raymond Overture; Alpen Sketches (plikt),"['Raymond Overture', 'Alpen Sketches (plikt)']",,[],85.5,100.0,,,,,2025-09-21T19:51:31.576660
1986-1-divisjon-01-os-musikkforening,1986,1. divisjon,1,Os Musikkforening,Karl Ole Midtbø,"Fanfare, Ballad and Jubilee; Delta Dances for Wind Band (plikt)","['Fanfare, Ballad and Jubilee', 'Delta Dances for Wind Band (plikt)']",,[],92.7,100.0,https://nmbrass.no/nmjanitsjar/static/osmusikkforening.jpg,,,,2025-09-21T19:51:31.596530
1986-1-divisjon-02-sagene-janitsjarkorps,1986,1. divisjon,2,Sagene Janitsjarkorps,Tom Skjellum,Festival Variations; Delta Dances for Wind Band (plikt),"['Festival Variations', 'Delta Dances for Wind Band (plikt)']",,[],92.2,100.0,https://nmbrass.no/nmjanitsjar/static/sagenejanitsjarkorps.jpg,,,,2025-09-21T19:51:31.596538
1986-1-divisjon-02-lillestrøm-musikkorps,1986,1. divisjon,2,Lillestrøm Musikkorps,Christer Johannesen,Festive Overture; Delta Dances for Wind Band (plikt),"['Festive Overture', 'Delta Dances for Wind Band (plikt)']",,[],92.2,100.0,https://www.lillestrom-musikkorps.no/data/files/bilde17-brussel1.jpg,,,,2025-09-21T19:51:31.596542
1986-1-divisjon-04-lier-ungdomskorps,1986,1. divisjon,4,Lier Ungdomskorps,Gunnar Lintvedt,Variants on a Mediaeval Tune; Delta Dances for Wind Band (plikt),"['Variants on a Mediaeval Tune', 'Delta Dances for Wind Band (plikt)']",,[],91.7,100.0,,,,,2025-09-21T19:51:31.596545
1986-1-divisjon-05-stabekk-janitsjarorkester,1986,1. divisjon,5,Stabekk Janitsjarorkester,Terje Wiik Mikkelsen,Capriccio Espagnol; Delta Dances for Wind Band (plikt),"['Capriccio Espagnol', 'Delta Dances for Wind Band (plikt)']",,[],89.7,100.0,http://www.sjo.no/images/SJO-planetene-2015-922px.jpg,,,,2025-09-21T19:51:31.596548
1986-1-divisjon-06-bispehaugen-ungdomskorps,1986,1. divisjon,6,Bispehaugen Ungdomskorps,Knut Lauritzen,"The Planets, 4. sats Jupiter The Bringer of Jollity; Delta Dances for Wind Band (plikt)","['The Planets, 4. sats Jupiter The Bringer of Jollity', 'Delta Dances for Wind Band (plikt)']",,[],89.5,100.0,https://nmbrass.no/nmjanitsjar/static/bispehaugenungdomskorps.jpg,,,,2025-09-21T19:51:31.596551
1986-1-divisjon-07-sinsen-konsertorkester,1986,1. divisjon,7,Sinsen Konsertorkester,Camilla Kolchinsky,Polovetsian Dances from Prince Igor; Delta Dances for Wind Band (plikt),"['Polovetsian Dances from Prince Igor', 'Delta Dances for Wind Band (plikt)']",,[],87.0,100.0,https://nmbrass.no/nmjanitsjar/static/sinsenmusikkorps.jpg,,,,2025-09-21T19:51:31.596553
1986-1-divisjon-08-musikklaget-brage,1986,1. divisjon,8,Musikklaget Brage,Anne Sæther,The Thievish Magpie; Delta Dances for Wind Band (plikt),"['The Thievish Magpie', 'Delta Dances for Wind Band (plikt)']",,[],86.2,100.0,,,,,2025-09-21T19:51:31.596556
1986-2-divisjon-01-tromsø-orkesterforenings-janitsjarkorps,1986,2. divisjon,1,Tromsø Orkesterforenings Janitsjarkorps,Morten Brenne,A Festive Overture (for Concert Band); Ballad for band (plikt),"['A Festive Overture (for Concert Band)', 'Ballad for band (plikt)']",,[],91.3,100.0,"https://static.wixstatic.com/media/dd5bbc_b0c682bb35064071b71c0549c444563e.jpg/v1/fill/w_859,h_602,al_c,q_85,usm_0.66_1.00_0.01/dd5bbc_b0c682bb35064071b71c0549c444563e.jpg",,,,2025-09-21T19:51:31.596560
1986-2-divisjon-02-årstad-musikkorps,1986,2. divisjon,2,Årstad Musikkorps,,First Suite in Eb for Military Band; Ballad for band (plikt),"['First Suite in Eb for Military Band', 'Ballad for band (plikt)']",,[],88.5,100.0,,,,,2025-09-21T19:51:31.596563
